controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.185771562159061,-48.565467834472656,85.6451187133789,0.4899999797344208,7.843333353598913,-2.2888092970791773e-05,-1.331580543606492e-07,2.2888092970791773e-05,1.331580543606492e-07,1.3284122360346373e-05,1.3284122360346373e-05,1.0,0.0,8.333333333333334,10,0,0.5853000283241272,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.23577156290412,-48.565467834472656,85.6451187133789,0.9800000786781311,7.353333254655203,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,1.6491532733198255e-05,3.207410372851882e-06,1.0,0.0,8.333333333333334,10,5,5.029730796813965,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.285771563649178,-48.565467834472656,85.6451187133789,1.470000147819519,6.863333185513815,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,1.9545670511433855e-05,3.0541377782355994e-06,1.0,0.0,8.333333333333334,10,5,5.023213863372803,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.335771564394236,-48.565467834472656,85.6451187133789,1.9600002765655518,6.373333056767782,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,2.1936752091278322e-05,2.3910815798444673e-06,1.0,0.0,8.333333333333334,10,5,5.015511989593506,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.385771565139294,-48.565467834472656,85.6451187133789,2.450000286102295,5.883333047231039,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,2.382571983616799e-05,1.8889677448896691e-06,1.0,0.0,8.333333333333334,10,5,5.0079145431518555,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.435771565884352,-48.565467834472656,85.6451187133789,2.93999981880188,5.393333514531454,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,2.533092447265517e-05,1.5052046364871785e-06,1.0,0.0,8.333333333333334,10,5,5.002078533172607,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.48577156662941,-48.565467834472656,85.6451187133789,2.0671517849126597,6.266181548420674,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,2.6540055841905996e-05,1.2091313692508265e-06,1.0,0.0,8.333333333333334,11,5,5.000003337860107,RoadOption.STRAIGHT,-48.5345344543457,96.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.535771567374468,-48.565467834472656,85.6451187133789,0.7392759323135222,7.594057401019811,-2.3193148299790328e-05,-1.331580543606492e-07,2.3193148299790328e-05,1.331580543606492e-07,2.8317946998868138e-05,1.7778911569621414e-06,1.0,0.0,8.333333333333334,10,6,6.0002241134643555,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.585771568119526,-48.565467834472656,85.6451187133789,0.11258018016829006,8.220753153165044,-2.058844964856338e-05,-1.331580543606492e-07,2.058844964856338e-05,1.331580543606492e-07,2.770086211967282e-05,-6.170848791953176e-07,1.0,0.0,8.333333333333334,10,5,5.000458240509033,RoadOption.STRAIGHT,-48.537349700927734,95.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,straight,700.0,0.05,0.1,1.0,13.635771568864584,-48.565452575683594,85.65064239501953,0.3639712322822322,7.969362101051102,-2.0303397570864412e-05,-4.660531907507703e-06,2.0303397570864412e-05,4.660531907507703e-06,3.132116034976207e-05,3.6202982300892472e-06,1.0,0.0,8.333333333333334,11,5,4.994892597198486,RoadOption.STRAIGHT,-48.5345344543457,96.64507293701172,1.5679822976290643,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
