controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.002786751836538,10.912545204162598,-57.40138626098633,0.4899999797344208,7.843333353598913,4.196166641112369e-05,0.0,4.196166641112369e-05,0.0,-2.4168142772396095e-05,-2.4168142772396095e-05,1.0,0.0,8.333333333333334,10,0,0.5852999687194824,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.052786752581596,10.912545204162598,-57.40138626098633,0.9800000786781311,7.353333254655203,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-3.139717591693625e-05,-7.2290331445401534e-06,1.0,0.0,8.333333333333334,10,5,5.0297346115112305,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.102786753326654,10.912545204162598,-57.40138626098633,1.470000147819519,6.863333185513815,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-3.659753201645799e-05,-5.200356099521741e-06,1.0,0.0,8.333333333333334,10,5,5.023217678070068,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.152786754071712,10.912545204162598,-57.40138626098633,1.9600002765655518,6.373333056767782,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.0237784560304135e-05,-3.6402525438461453e-06,1.0,0.0,8.333333333333334,10,5,5.0155158042907715,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.20278675481677,10.912545204162598,-57.40138626098633,2.450000286102295,5.883333047231039,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.278595952200703e-05,-2.548174961702898e-06,1.0,0.0,8.333333333333334,10,5,5.007918357849121,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.252786755561829,10.912545204162598,-57.40138626098633,2.93999981880188,5.393333514531454,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.456968235899694e-05,-1.7837228369899094e-06,1.0,0.0,8.333333333333334,10,5,5.002082347869873,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.302786756306887,10.912545204162598,-57.40138626098633,2.0671515464953343,6.266181786838,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.581828761729412e-05,-1.2486052582971752e-06,1.0,0.0,8.333333333333334,10,5,5.000006675720215,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.352786757051945,10.912545204162598,-57.40138626098633,0.7392748594293553,7.594058473903979,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.66923120256979e-05,-8.74024408403784e-07,1.0,0.0,8.333333333333334,10,5,5.000268459320068,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.402786757797003,10.912545204162598,-57.40138626098633,0.11257985979324411,8.22075347354009,4.133156957399032e-05,0.0,4.133156957399032e-05,0.0,-4.730412911158055e-05,-6.118170858826488e-07,1.0,0.0,8.333333333333334,10,5,5.000462055206299,RoadOption.STRAIGHT,20.912546157836914,-57.405513763427734,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,14.45278675854206,10.918083190917969,-57.40138244628906,0.3639593205319795,7.969374012801355,4.741164386696216e-05,-4.793689961424263e-06,4.741164386696216e-05,4.793689961424263e-06,-4.757846181746572e-05,-2.743327058851719e-07,1.0,0.0,8.333333333333334,11,5,4.994881629943848,RoadOption.STRAIGHT,21.912546157836914,-57.405921936035156,6.28277624563615,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
