controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.400461569428444,-75.3438720703125,16.47465705871582,0.4899999797344208,13.398888909154469,-9.536706352597603e-06,2.663161087212984e-07,9.536706352597603e-06,2.663161087212984e-07,1.7632130038691685e-05,1.7632130038691685e-05,1.0,0.0,13.88888888888889,10,0,0.5853000283241272,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.450461570173502,-75.3438720703125,16.47465705871582,0.9800000786781311,12.908888810210758,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,9.172810678137466e-06,-8.459319360554218e-06,1.0,0.0,13.88888888888889,10,5,5.029730319976807,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.50046157091856,-75.3438720703125,16.47465705871582,1.470000147819519,12.41888874106937,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.0499510608497076e-05,1.3266999303596094e-06,1.0,0.0,13.88888888888889,10,5,5.0232133865356445,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.550461571663618,-75.3438720703125,16.47465705871582,1.9600002765655518,11.928888612323338,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.0914464837696869e-05,4.149542291997932e-07,1.0,0.0,13.88888888888889,10,5,5.015511512756348,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.600461572408676,-75.3438720703125,16.47465705871582,2.450000286102295,11.438888602786594,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.126717688748613e-05,3.5271204978926107e-07,1.0,0.0,13.88888888888889,10,5,5.0079145431518555,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.650461573153734,-75.3438720703125,16.47465705871582,2.93999981880188,10.94888907008701,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.1566980901989155e-05,2.998040145030245e-07,1.0,0.0,13.88888888888889,10,5,5.002078056335449,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.700461573898792,-75.3438720703125,16.47465705871582,2.0671522617510276,11.821736627137861,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.1821814950963017e-05,2.548340489738621e-07,1.0,0.0,13.88888888888889,10,5,5.000002861022949,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.75046157464385,-75.3438720703125,16.47465705871582,0.739275932313742,13.149612956575147,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.2038423847116064e-05,2.1660889615304768e-07,1.0,0.0,13.88888888888889,10,5,5.0002641677856445,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.80046157538891,-75.3438720703125,16.47465705871582,0.11257976293566425,13.776309125953224,-8.404822024075595e-06,2.663161087212984e-07,8.404822024075595e-06,2.663161087212984e-07,1.2222541954542976e-05,1.841181074269116e-07,1.0,0.0,13.88888888888889,10,5,5.000457763671875,RoadOption.STRAIGHT,-85.34383392333984,16.446863174438477,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,16.850461576133966,-75.34941101074219,16.474637985229492,0.36395367691784314,13.524935211971046,-4.721202374515648e-06,-4.261057744869845e-06,4.721202374515648e-06,4.261057744869845e-06,1.681602770986501e-05,4.593485755322035e-06,1.0,0.0,13.88888888888889,11,5,4.994876861572266,RoadOption.STRAIGHT,-86.34382629394531,16.44408416748047,3.144371129555073,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
