controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.665267903357744,83.07522583007812,13.414804458618164,0.4899999797344208,13.398888909154469,0.0,2.663161087212984e-07,0.0,2.663161087212984e-07,-6.247994974728499e-07,-6.247994974728499e-07,1.0,0.0,13.88888888888889,10,0,0.5853000283241272,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.715267904102802,83.07522583007812,13.414804458618164,0.9800000786781311,12.908888810210758,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,-1.7760999071469996e-06,-1.1513004096741497e-06,1.0,0.0,13.88888888888889,10,5,5.029737949371338,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.76526790484786,83.07522583007812,13.414804458618164,1.470000147819519,12.41888874106937,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,-3.404506685455999e-07,1.4356492386013997e-06,1.0,0.0,13.88888888888889,10,5,5.023221015930176,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.81526790559292,83.07522583007812,13.414804458618164,1.9600002765655518,11.928888612323338,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,5.927213351242244e-07,9.331720036698243e-07,1.0,0.0,13.88888888888889,10,5,5.015519142150879,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.865267906337976,83.07522583007812,13.414804458618164,2.450000286102295,11.438888602786594,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,1.1992831332463538e-06,6.065617981221294e-07,1.0,0.0,13.88888888888889,10,5,5.007922172546387,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.915267907083035,83.07522583007812,13.414804458618164,2.93999981880188,10.94888907008701,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,1.5935482906570542e-06,3.9426515741070034e-07,1.0,0.0,13.88888888888889,10,5,5.0020856857299805,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,17.965267907828093,83.07522583007812,13.414804458618164,2.067152261750871,11.82173662713802,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,1.8498207055017701e-06,2.5627241484471597e-07,1.0,0.0,13.88888888888889,10,5,5.0000104904174805,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.01526790857315,83.07522583007812,13.414804458618164,0.7392759323135596,13.14961295657533,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,2.0163977296761004e-06,1.665770241743303e-07,1.0,0.0,13.88888888888889,10,5,5.000271797180176,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.06526790931821,83.07522583007812,13.414804458618164,0.1125798374415039,13.776309051447384,1.1530823905824689e-06,2.663161087212984e-07,1.1530823905824689e-06,2.663161087212984e-07,2.124672846548492e-06,1.0827511687239166e-07,1.0,0.0,13.88888888888889,10,5,5.000465393066406,RoadOption.STRAIGHT,73.07526397705078,13.387020111083984,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.115267910063267,83.06969451904297,13.414786338806152,0.36396061242148464,13.524928276467405,3.90422946694273e-06,-4.261057744869845e-06,3.90422946694273e-06,4.261057744869845e-06,7.025375452940352e-06,4.90070260639186e-06,1.0,0.0,13.88888888888889,11,5,4.994892120361328,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
