controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.740900222212076,-110.9637451171875,59.689353942871094,0.4899999797344208,13.398888909154469,0.053308447327634255,0.0,0.053308447327634255,0.0,-0.02700544334948063,-0.02700544334948063,1.0,0.0,13.88888888888889,10,0,0.587722659111023,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.790900222957134,-110.9637451171875,59.689353942871094,0.9800000786781311,12.908888810210758,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004869654774666,5.736947059631348e-07,1.0,0.0,13.88888888888889,10,5,5.029886722564697,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.840900223702192,-110.9637451171875,59.689353942871094,1.470000147819519,12.41888874106937,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004869654774666,0.0,1.0,0.0,13.88888888888889,10,5,5.023369789123535,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.89090022444725,-110.9637451171875,59.689353942871094,1.9600002765655518,11.928888612323338,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004869654774666,0.0,1.0,0.0,13.88888888888889,10,5,5.0156683921813965,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.940900225192308,-110.9637451171875,59.689353942871094,2.450000286102295,11.438888602786594,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004869654774666,0.0,1.0,0.0,13.88888888888889,10,5,5.008070945739746,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,12.990900225937366,-110.9637451171875,59.689353942871094,2.93999981880188,10.94888907008701,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004869654774666,0.0,1.0,0.0,13.88888888888889,10,5,5.002234935760498,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,13.040900226682425,-110.9637451171875,59.689353942871094,2.067154407517145,11.821734481371745,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.02700483798980713,3.166496753692627e-08,1.0,0.0,13.88888888888889,10,5,5.000159740447998,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,13.090900227427483,-110.9637451171875,59.689353942871094,0.7392761111271168,13.149612777761773,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004839852452278,-1.862645149230957e-09,1.0,0.0,13.88888888888889,10,5,5.000421524047852,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,13.14090022817254,-110.9637451171875,59.689353942871094,0.11257963627586691,13.776309252613022,0.053307315491817234,0.0,0.053307315491817234,0.0,-0.027004845440387726,-5.587935447692871e-09,1.0,0.0,13.88888888888889,10,5,5.000615119934082,RoadOption.STRAIGHT,-111.02252960205078,69.68919372558594,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,13.190900228917599,-110.96376037597656,59.69489288330078,0.36387994100254084,13.525008947886349,0.0532604880195112,-6.631271114265758e-05,0.0532604880195112,6.631271114265758e-05,-0.026853948831558228,0.0001508966088294983,1.0,0.0,13.88888888888889,11,5,4.9950337409973145,RoadOption.STRAIGHT,-111.03373718261719,70.68913269042969,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
