controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,speed_plan_risk,speed_plan_reason,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.465392801910639,-110.19779968261719,-9.84222412109375,0.4899999797344208,32.843333353598915,0.06678051669362176,0.0,0.06678051669362176,0.0,-0.03382542356848717,-0.03382542356848717,1.0,0.0,33.333333333333336,0.0,none,10,0,0.5896503329277039,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.515392802655697,-110.19779968261719,-9.84222412109375,0.9800000786781311,31.9033332546552,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.03382168337702751,3.7401914596557617e-06,1.0,0.0,32.88333333333333,0.726102117766574,curvature,10,5,5.0555524826049805,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.565392803400755,-110.19779968261719,-9.84222412109375,1.470000147819519,30.96333318551381,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.03381962701678276,2.0563602447509766e-06,1.0,0.0,32.43333333333333,0.726102117766574,curvature,10,5,5.049068927764893,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.615392804145813,-110.19779968261719,-9.84222412109375,1.9600002765655518,30.02333305676778,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.03381828963756561,1.3373792171478271e-06,1.0,0.0,31.98333333333333,0.726102117766574,curvature,10,5,5.041406631469727,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.665392804890871,-110.19779968261719,-9.84222412109375,2.450000286102295,29.083333047231037,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.03381741791963577,8.717179298400879e-07,1.0,0.0,31.53333333333333,0.726102117766574,curvature,10,5,5.033848285675049,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.715392805635929,-110.19779968261719,-9.84222412109375,2.93999981880188,28.143333514531452,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.033816851675510406,5.662441253662109e-07,1.0,0.0,31.083333333333332,0.726102117766574,curvature,10,5,5.028042316436768,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.765392806380987,-110.19779968261719,-9.84222412109375,2.067154169098871,28.566179164234462,0.06677935813375911,0.0,0.06677935813375911,0.0,-0.03381644934415817,4.023313522338867e-07,1.0,0.0,30.633333333333333,0.726102117766574,curvature,10,5,5.025977611541748,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.815392807126045,-110.19779968261719,-9.842223167419434,0.7392761111274625,29.44405722220587,0.06677934744414087,0.0,0.06677934744414087,0.0,-0.033816199749708176,2.4959444999694824e-07,1.0,0.0,30.183333333333334,0.726102117766574,curvature,10,5,5.0262370109558105,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.865392807871103,-110.19779968261719,-9.842223167419434,0.11258006840957126,29.620753264923763,0.06677934744414087,0.0,0.06677934744414087,0.0,-0.03381604701280594,1.5273690223693848e-07,1.0,0.0,29.733333333333334,0.726102117766574,curvature,10,5,5.026429653167725,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.915392808616161,-110.19780731201172,-9.836688041687012,0.36381197636378726,28.919521356969547,0.0667249338150661,-8.175904546536827e-05,0.0667249338150661,8.175904546536827e-05,-0.03363099321722984,0.00018505379557609558,1.0,0.0,29.283333333333335,0.726102117766574,curvature,10,5,5.020852088928223,RoadOption.STRAIGHT,-110.24339294433594,0.18316476047039032,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
